"àƒåèID","àƒåèñº","î≠ê∂åèêî","î≠ê∂ïÒèV","ämíËåèêî","ämíËïÒèV","ämíËó¶",
"SV20151109132919","","1","1","1","1","100.0",
"SV20151109133136","","1","1","1","1","100.0",
"SV20151109133409","","1","1","1","1","100.0",
"SV20151109133718","","1","1","1","1","100.0",
"SV20151109133953","","1","1","1","1","100.0",
"SV20151109192932","","1","1","1","1","100.0",
"SV20151109193341","","1","1","1","1","100.0",
"SV20151109193933","","1","1","1","1","100.0",
"SV20151109194323","","1","1","1","1","100.0",
"SV20151109194433","","1","1","1","1","100.0",
"SV20151109210522","","1","1","1","1","100.0",
"SV20151109220632","","1","1","1","1","100.0",
"SV20151109221214","","1","1","1","1","100.0",
"SV20151109221515","","1","1","1","1","100.0",
"SV20151109221902","","1","1","1","1","100.0",
"SV20151109222255","","1","1","1","1","100.0",
"SV20151109222709","","1","1","1","1","100.0",
"SV20151109223050","","1","1","1","1","100.0",
"SV20151109223410","","1","1","1","1","100.0",
"SV20151110165232","","1","1","1","1","100.0",
"SV20151110165354","","1","1","1","1","100.0",
"SV20151110165518","","1","1","1","1","100.0",
"SV20151110165634","","1","1","1","1","100.0",
"SV20151110165746","","1","1","1","1","100.0",
"SV20151110190547","","1","1","1","1","100.0",
"SV20151110190924","","1","1","1","1","100.0",
"SV20151110191302","","1","1","1","1","100.0",
"SV20151111050229","","1","1","1","1","100.0",
"SV20151111080057","","1","1","1","1","100.0",
"SV20151111080340","","1","1","1","1","100.0",
"SV20151111123613","","1","1","1","1","100.0",
"SV20151111123844","","1","1","1","1","100.0",
"SV20151111130605","","1","1","1","1","100.0",
"SV20151111194625","","1","1","1","1","100.0",
"SV20151111194951","","1","1","1","1","100.0",
"SV20151111211314","","1","1","1","1","100.0",
"SV20151111234701","","1","1","1","1","100.0",
"SV20151111235133","","1","1","1","1","100.0",
"SV20151112074729","","1","1","1","1","100.0",
"SV20151112075051","","1","1","1","1","100.0",
"SV20151112075331","","1","1","1","1","100.0",
"SV20151112075739","","1","1","1","1","100.0",
"SV20151112192613","","1","1","1","1","100.0",
"SV20151112192941","","1","1","1","1","100.0",
"SV20151112193343","","1","1","1","1","100.0",
"SV20151113065846","","1","1","1","1","100.0",
"SV20151113172532","","1","1","1","1","100.0",
"SV20151113172716","","1","1","1","1","100.0",
"SV20151113201226","","1","1","1","1","100.0",
"SV20151113201515","","1","1","1","1","100.0",
"SV20151113201830","","1","1","1","1","100.0",
"SV20151114035911","","1","1","1","1","100.0",
"SV20151115011821","","1","1","1","1","100.0",
"SV20151115012206","","1","1","1","1","100.0",
"SV20151115012632","","1","1","1","1","100.0",
"SV20151115040449","","1","1","1","1","100.0",
"SV20151115040809","","1","1","1","1","100.0",
"SV20151115120752","","1","1","1","1","100.0",
"SV20151115120845","","1","1","1","1","100.0",
"SV20151115121340","","1","1","1","1","100.0",
"SV20151115121739","","1","1","1","1","100.0",
"SV20151115171242","","1","1","1","1","100.0",
"SV20151115171459","","1","1","1","1","100.0",
"SV20151115171706","","1","1","1","1","100.0",
"SV20151115185735","","1","1","1","1","100.0",
"SV20151116034735","","1","1","1","1","100.0",
"SV20151116075400","","1","1","1","1","100.0",
"SV20151116075614","","1","1","1","1","100.0",
"SV20151116075837","","1","1","1","1","100.0",
"SV20151116145127","","1","1","1","1","100.0",
"SV20151116145408","","1","1","1","1","100.0",
"SV20151116161638","","1","1","1","1","100.0",
"SV20151116200119","","1","1","1","1","100.0",
"SV20151116224044","","1","1","1","1","100.0",
"SV20151117011220","","1","1","1","1","100.0",
"SV20151117011506","","1","1","1","1","100.0",
"SV20151117221015","","1","1","1","1","100.0",
"SV20151117231525","","1","1","1","1","100.0",
"SV20151118051937","","1","1","1","1","100.0",
"SV20151118052352","","1","1","1","1","100.0",
"SV20151118205313","","1","1","1","1","100.0",
"SV20151118205722","","1","1","1","1","100.0",
"SV20151118210046","","1","1","1","1","100.0",
"SV20151118210323","","1","1","1","1","100.0",
"SV20151118210618","","1","1","1","1","100.0",
"SV20151118210948","","1","1","1","1","100.0",
"SV20151119031848","","1","1","1","1","100.0",
"SV20151119063338","","1","1","1","1","100.0",
"SV20151119130007","","1","1","1","1","100.0",
"SV20151119173420","","1","1","1","1","100.0",
"SV20151120080200","","1","1","1","1","100.0",
"SV20151120100936","","1","1","1","1","100.0",
"SV20151120122923","","1","1","1","1","100.0",
"SV20151120123254","","1","1","1","1","100.0",
"SV20151120123739","","1","1","1","1","100.0",
"SV20151120124042","","1","1","1","1","100.0",
"SV20151120150852","","1","1","1","1","100.0",
"SV20151120215826","","1","1","1","1","100.0",
"SV20151120220146","","1","1","1","1","100.0",
"SV20151121014316","","1","1","1","1","100.0",
"SV20151121014623","","1","1","1","1","100.0",
"SV20151121015035","","1","1","1","1","100.0",
"SV20151121015412","","1","1","1","1","100.0",
"SV20151121015743","","1","1","1","1","100.0",
"SV20151121020152","","1","1","1","1","100.0",
"SV20151121043341","","1","1","1","1","100.0",
"SV20151121043728","","1","1","1","1","100.0",
"SV20151121131749","","1","1","1","1","100.0",
"SV20151121132725","","1","1","1","1","100.0",
"SV20151121133037","","1","1","1","1","100.0",
"SV20151121133309","","1","1","1","1","100.0",
"SV20151121133414","","1","1","1","1","100.0",
"SV20151122124256","","1","1","1","1","100.0",
"SV20151122124709","","1","1","1","1","100.0",
"SV20151122210453","","1","1","1","1","100.0",
"SV20151122224451","","1","1","1","1","100.0",
"SV20151122224658","","1","1","1","1","100.0",
"SV20151123020512","","1","1","1","1","100.0",
"SV20151123080544","","1","1","1","1","100.0",
"SV20151123082026","","1","1","1","1","100.0",
"SV20151123082241","","1","1","1","1","100.0",
"SV20151123082440","","1","1","1","1","100.0",
"SV20151123082649","","1","1","1","1","100.0",
"SV20151123082830","","1","1","1","1","100.0",
"SV20151123170940","","1","1","1","1","100.0",
"SV20151123171332","","1","1","1","1","100.0",
"SV20151123171633","","1","1","1","1","100.0",
"SV20151123224008","","1","1","1","1","100.0",
"SV20151123224329","","1","1","1","1","100.0",
"SV20151123233902","","1","1","1","1","100.0",
"SV20151124231622","","1","1","1","1","100.0",
"SV20151125010944","","1","1","1","1","100.0",
"SV20151125012354","","1","1","1","1","100.0",
"SV20151125050618","","1","1","1","1","100.0",
"SV20151125170753","","1","1","1","1","100.0",
"SV20151125232126","","1","1","1","1","100.0",
"SV20151125232641","","1","1","1","1","100.0",
"SV20151125233134","","1","1","1","1","100.0",
"SV20151126002535","","1","1","1","1","100.0",
"SV20151126014255","","1","1","1","1","100.0",
"SV20151126014611","","1","1","1","1","100.0",
